[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
total_number_of_episodes = 2320, number_of_timesteps=2320000, per_episode_reward = -453.89, episode_reward_trend_value=0.0011850538800962972
total_number_of_episodes = 2330, number_of_timesteps=2330000, per_episode_reward = -453.85, episode_reward_trend_value=-0.0008567026709518663
total_number_of_episodes = 2340, number_of_timesteps=2340000, per_episode_reward = -453.98, episode_reward_trend_value=0.0001795568363004602
total_number_of_episodes = 2350, number_of_timesteps=2350000, per_episode_reward = -454.01, episode_reward_trend_value=-0.002729292713536324
total_number_of_episodes = 2360, number_of_timesteps=2360000, per_episode_reward = -454.08, episode_reward_trend_value=-0.005438463365383465
total_number_of_episodes = 2370, number_of_timesteps=2370000, per_episode_reward = -454.04, episode_reward_trend_value=-0.0031189317194831446
total_number_of_episodes = 2380, number_of_timesteps=2380000, per_episode_reward = -454.12, episode_reward_trend_value=-0.0014023841081666432
total_number_of_episodes = 2390, number_of_timesteps=2390000, per_episode_reward = -454.35, episode_reward_trend_value=-0.00513059417945922
total_number_of_episodes = 2400, number_of_timesteps=2400000, per_episode_reward = -454.15, episode_reward_trend_value=-0.005671705526236792
total_number_of_episodes = 2410, number_of_timesteps=2410000, per_episode_reward = -454.28, episode_reward_trend_value=-0.004366143530006639
total_number_of_episodes = 2420, number_of_timesteps=2420000, per_episode_reward = -454.16, episode_reward_trend_value=-0.003487720093232838
total_number_of_episodes = 2430, number_of_timesteps=2430000, per_episode_reward = -454.27, episode_reward_trend_value=-0.0031725463638445544
total_number_of_episodes = 2440, number_of_timesteps=2440000, per_episode_reward = -454.03, episode_reward_trend_value=-0.00022385729361897372
total_number_of_episodes = 2450, number_of_timesteps=2450000, per_episode_reward = -454.33, episode_reward_trend_value=-0.0028242590565620658
total_number_of_episodes = 2460, number_of_timesteps=2460000, per_episode_reward = -454.31, episode_reward_trend_value=-0.0030515824375527247
total_number_of_episodes = 2470, number_of_timesteps=2470000, per_episode_reward = -454.34, episode_reward_trend_value=-0.002484798983732617
total_number_of_episodes = 2480, number_of_timesteps=2480000, per_episode_reward = -454.22, episode_reward_trend_value=0.0013620921439553512
total_number_of_episodes = 2490, number_of_timesteps=2490000, per_episode_reward = -454.34, episode_reward_trend_value=-0.002127827696741254
total_number_of_episodes = 2500, number_of_timesteps=2500000, per_episode_reward = -454.33, episode_reward_trend_value=-0.00045042766881996
total_number_of_episodes = 2510, number_of_timesteps=2510000, per_episode_reward = -454.40, episode_reward_trend_value=-0.0026587348593579917
total_number_of_episodes = 2520, number_of_timesteps=2520000, per_episode_reward = -454.48, episode_reward_trend_value=-0.002367055390415847
total_number_of_episodes = 2530, number_of_timesteps=2530000, per_episode_reward = -454.36, episode_reward_trend_value=-0.003663993284360837
total_number_of_episodes = 2540, number_of_timesteps=2540000, per_episode_reward = -454.41, episode_reward_trend_value=-0.0008170810151808736
total_number_of_episodes = 2550, number_of_timesteps=2550000, per_episode_reward = -454.40, episode_reward_trend_value=-0.0009136650327585963
total_number_of_episodes = 2560, number_of_timesteps=2560000, per_episode_reward = -454.42, episode_reward_trend_value=-0.0009007297750024968
total_number_of_episodes = 2570, number_of_timesteps=2570000, per_episode_reward = -454.48, episode_reward_trend_value=-0.002848950233841505
total_number_of_episodes = 2580, number_of_timesteps=2580000, per_episode_reward = -454.50, episode_reward_trend_value=-0.0018034528297341187
total_number_of_episodes = 2590, number_of_timesteps=2590000, per_episode_reward = -454.54, episode_reward_trend_value=-0.002344184112397822
total_number_of_episodes = 2600, number_of_timesteps=2600000, per_episode_reward = -454.75, episode_reward_trend_value=-0.00391739548126111
total_number_of_episodes = 2610, number_of_timesteps=2610000, per_episode_reward = -454.49, episode_reward_trend_value=-0.00013345756653898713
total_number_of_episodes = 2620, number_of_timesteps=2620000, per_episode_reward = -454.59, episode_reward_trend_value=-0.002588777365163095
total_number_of_episodes = 2630, number_of_timesteps=2630000, per_episode_reward = -454.55, episode_reward_trend_value=-0.0016521298103523603
total_number_of_episodes = 2640, number_of_timesteps=2640000, per_episode_reward = -454.66, episode_reward_trend_value=-0.0029466633850814914
total_number_of_episodes = 2650, number_of_timesteps=2650000, per_episode_reward = -454.75, episode_reward_trend_value=-0.00362938152053592
total_number_of_episodes = 2660, number_of_timesteps=2660000, per_episode_reward = -454.81, episode_reward_trend_value=-0.0036399678122582676
total_number_of_episodes = 2670, number_of_timesteps=2670000, per_episode_reward = -454.86, episode_reward_trend_value=-0.003995575157481805
total_number_of_episodes = 2680, number_of_timesteps=2680000, per_episode_reward = -454.87, episode_reward_trend_value=-0.0037227957892595337
total_number_of_episodes = 2690, number_of_timesteps=2690000, per_episode_reward = -455.07, episode_reward_trend_value=-0.0035408211680766676
total_number_of_episodes = 2700, number_of_timesteps=2700000, per_episode_reward = -454.95, episode_reward_trend_value=-0.005087426240279708
total_number_of_episodes = 2710, number_of_timesteps=2710000, per_episode_reward = -454.98, episode_reward_trend_value=-0.0042713825084863145
total_number_of_episodes = 2720, number_of_timesteps=2720000, per_episode_reward = -454.97, episode_reward_trend_value=-0.004581088271918235
total_number_of_episodes = 2730, number_of_timesteps=2730000, per_episode_reward = -454.93, episode_reward_trend_value=-0.002982764754371677
total_number_of_episodes = 2740, number_of_timesteps=2740000, per_episode_reward = -455.03, episode_reward_trend_value=-0.003068255107907842
total_number_of_episodes = 2750, number_of_timesteps=2750000, per_episode_reward = -454.98, episode_reward_trend_value=-0.001956948995420286
total_number_of_episodes = 2760, number_of_timesteps=2760000, per_episode_reward = -455.05, episode_reward_trend_value=-0.0021726266993368883
total_number_of_episodes = 2770, number_of_timesteps=2770000, per_episode_reward = -455.01, episode_reward_trend_value=-0.0015713080714293583
total_number_of_episodes = 2780, number_of_timesteps=2780000, per_episode_reward = -455.10, episode_reward_trend_value=-0.00033519536650348733
total_number_of_episodes = 2790, number_of_timesteps=2790000, per_episode_reward = -455.03, episode_reward_trend_value=-0.0008342231477279762
total_number_of_episodes = 2800, number_of_timesteps=2800000, per_episode_reward = -455.16, episode_reward_trend_value=-0.0020629041931758568
total_number_of_episodes = 2810, number_of_timesteps=2810000, per_episode_reward = -455.30, episode_reward_trend_value=-0.0037097623891914587
total_number_of_episodes = 2820, number_of_timesteps=2820000, per_episode_reward = -455.40, episode_reward_trend_value=-0.005169548527538837
total_number_of_episodes = 2830, number_of_timesteps=2830000, per_episode_reward = -455.50, episode_reward_trend_value=-0.0052991798329761275
total_number_of_episodes = 2840, number_of_timesteps=2840000, per_episode_reward = -455.56, episode_reward_trend_value=-0.006378020249721633
total_number_of_episodes = 2850, number_of_timesteps=2850000, per_episode_reward = -455.53, episode_reward_trend_value=-0.005313875757941686
total_number_of_episodes = 2860, number_of_timesteps=2860000, per_episode_reward = -455.46, episode_reward_trend_value=-0.004966131296833964
total_number_of_episodes = 2870, number_of_timesteps=2870000, per_episode_reward = -455.55, episode_reward_trend_value=-0.00495436004408892
total_number_of_episodes = 2880, number_of_timesteps=2880000, per_episode_reward = -455.57, episode_reward_trend_value=-0.005996913328282163
total_number_of_episodes = 2890, number_of_timesteps=2890000, per_episode_reward = -455.61, episode_reward_trend_value=-0.004924368881617309
total_number_of_episodes = 2900, number_of_timesteps=2900000, per_episode_reward = -455.56, episode_reward_trend_value=-0.0028905951222207528
total_number_of_episodes = 2910, number_of_timesteps=2910000, per_episode_reward = -455.56, episode_reward_trend_value=-0.0018168168319486239
total_number_of_episodes = 2920, number_of_timesteps=2920000, per_episode_reward = -455.56, episode_reward_trend_value=-0.000604663146157236
total_number_of_episodes = 2930, number_of_timesteps=2930000, per_episode_reward = -455.49, episode_reward_trend_value=0.0007571992882364814
total_number_of_episodes = 2940, number_of_timesteps=2940000, per_episode_reward = -455.39, episode_reward_trend_value=0.0016173150394087718
total_number_of_episodes = 2950, number_of_timesteps=2950000, per_episode_reward = -455.53, episode_reward_trend_value=-0.0008389741263057557
total_number_of_episodes = 2960, number_of_timesteps=2960000, per_episode_reward = -455.52, episode_reward_trend_value=0.00026997429648455785
total_number_of_episodes = 2970, number_of_timesteps=2970000, per_episode_reward = -455.58, episode_reward_trend_value=-0.0001095817613569731
total_number_of_episodes = 2980, number_of_timesteps=2980000, per_episode_reward = -455.47, episode_reward_trend_value=0.0015607926676977969
total_number_of_episodes = 2990, number_of_timesteps=2990000, per_episode_reward = -455.53, episode_reward_trend_value=0.0003657393245368389
total_number_of_episodes = 3000, number_of_timesteps=3000000, per_episode_reward = -455.45, episode_reward_trend_value=0.001189676384106835
total_number_of_episodes = 3010, number_of_timesteps=3010000, per_episode_reward = -455.32, episode_reward_trend_value=0.002678726628737296
total_number_of_episodes = 3020, number_of_timesteps=3020000, per_episode_reward = -455.46, episode_reward_trend_value=0.0003409426599489507
total_number_of_episodes = 3030, number_of_timesteps=3030000, per_episode_reward = -455.57, episode_reward_trend_value=-0.002040176092205254
total_number_of_episodes = 3040, number_of_timesteps=3040000, per_episode_reward = -455.46, episode_reward_trend_value=0.0008042696045290794
total_number_of_episodes = 3050, number_of_timesteps=3050000, per_episode_reward = -455.61, episode_reward_trend_value=-0.0009640321186111578
total_number_of_episodes = 3060, number_of_timesteps=3060000, per_episode_reward = -455.61, episode_reward_trend_value=-0.0003448348536374447
total_number_of_episodes = 3070, number_of_timesteps=3070000, per_episode_reward = -455.54, episode_reward_trend_value=-0.0008368044616917005
total_number_of_episodes = 3080, number_of_timesteps=3080000, per_episode_reward = -455.66, episode_reward_trend_value=-0.001522554942487078
total_number_of_episodes = 3090, number_of_timesteps=3090000, per_episode_reward = -455.71, episode_reward_trend_value=-0.0029122198441232034
total_number_of_episodes = 3100, number_of_timesteps=3100000, per_episode_reward = -455.76, episode_reward_trend_value=-0.004918352425085636
total_number_of_episodes = 3110, number_of_timesteps=3110000, per_episode_reward = -455.69, episode_reward_trend_value=-0.002545948393835336
total_number_of_episodes = 3120, number_of_timesteps=3120000, per_episode_reward = -455.60, episode_reward_trend_value=-0.00031265926668816565
total_number_of_episodes = 3130, number_of_timesteps=3130000, per_episode_reward = -455.63, episode_reward_trend_value=-0.0018118025773983643
total_number_of_episodes = 3140, number_of_timesteps=3140000, per_episode_reward = -455.65, episode_reward_trend_value=-0.0004499584242340562
total_number_of_episodes = 3150, number_of_timesteps=3150000, per_episode_reward = -455.73, episode_reward_trend_value=-0.0013776949259781505
total_number_of_episodes = 3160, number_of_timesteps=3160000, per_episode_reward = -455.69, episode_reward_trend_value=-0.0016683101250186557
total_number_of_episodes = 3170, number_of_timesteps=3170000, per_episode_reward = -455.70, episode_reward_trend_value=-0.00034766835604184757
total_number_of_episodes = 3180, number_of_timesteps=3180000, per_episode_reward = -455.51, episode_reward_trend_value=0.0022648379906867275
total_number_of_episodes = 3190, number_of_timesteps=3190000, per_episode_reward = -455.43, episode_reward_trend_value=0.003632329340940209
total_number_of_episodes = 3200, number_of_timesteps=3200000, per_episode_reward = -455.45, episode_reward_trend_value=0.0026985094566548975
total_number_of_episodes = 3210, number_of_timesteps=3210000, per_episode_reward = -455.40, episode_reward_trend_value=0.0021675186391178158
total_number_of_episodes = 3220, number_of_timesteps=3220000, per_episode_reward = -455.42, episode_reward_trend_value=0.0022463576820882735
total_number_of_episodes = 3230, number_of_timesteps=3230000, per_episode_reward = -455.46, episode_reward_trend_value=0.002131899887518153
total_number_of_episodes = 3240, number_of_timesteps=3240000, per_episode_reward = -455.43, episode_reward_trend_value=0.0032991192270016094
total_number_of_episodes = 3250, number_of_timesteps=3250000, per_episode_reward = -455.36, episode_reward_trend_value=0.0036965488148812003
total_number_of_episodes = 3260, number_of_timesteps=3260000, per_episode_reward = -455.36, episode_reward_trend_value=0.003776604586288891
total_number_of_episodes = 3270, number_of_timesteps=3270000, per_episode_reward = -455.34, episode_reward_trend_value=0.0018570964550740933
total_number_of_episodes = 3280, number_of_timesteps=3280000, per_episode_reward = -455.17, episode_reward_trend_value=0.002934498854657224
total_number_of_episodes = 3290, number_of_timesteps=3290000, per_episode_reward = -455.04, episode_reward_trend_value=0.004510599053386007
total_number_of_episodes = 3300, number_of_timesteps=3300000, per_episode_reward = -455.10, episode_reward_trend_value=0.003376479732132035
total_number_of_episodes = 3310, number_of_timesteps=3310000, per_episode_reward = -455.20, episode_reward_trend_value=0.0025284615796181244
total_number_of_episodes = 3320, number_of_timesteps=3320000, per_episode_reward = -455.24, episode_reward_trend_value=0.002390154177727608
total_number_of_episodes = 3330, number_of_timesteps=3330000, per_episode_reward = -455.26, episode_reward_trend_value=0.0019719777874191396
total_number_of_episodes = 3340, number_of_timesteps=3340000, per_episode_reward = -455.29, episode_reward_trend_value=0.0007497889831262859
total_number_of_episodes = 3350, number_of_timesteps=3350000, per_episode_reward = -455.20, episode_reward_trend_value=0.001767288328857022
total_number_of_episodes = 3360, number_of_timesteps=3360000, per_episode_reward = -455.24, episode_reward_trend_value=0.0011547613635722578
total_number_of_episodes = 3370, number_of_timesteps=3370000, per_episode_reward = -455.25, episode_reward_trend_value=-0.0009447245212508429
total_number_of_episodes = 3380, number_of_timesteps=3380000, per_episode_reward = -455.19, episode_reward_trend_value=-0.0017014165115761496
total_number_of_episodes = 3390, number_of_timesteps=3390000, per_episode_reward = -455.16, episode_reward_trend_value=-0.0006296412632877946
total_number_of_episodes = 3400, number_of_timesteps=3400000, per_episode_reward = -455.08, episode_reward_trend_value=0.0012611085138454806
total_number_of_episodes = 3410, number_of_timesteps=3410000, per_episode_reward = -455.18, episode_reward_trend_value=0.0007681579658215772
total_number_of_episodes = 3420, number_of_timesteps=3420000, per_episode_reward = -455.15, episode_reward_trend_value=0.0011721868776305654
total_number_of_episodes = 3430, number_of_timesteps=3430000, per_episode_reward = -455.11, episode_reward_trend_value=0.002029271414984477
total_number_of_episodes = 3440, number_of_timesteps=3440000, per_episode_reward = -455.16, episode_reward_trend_value=0.0004260602850573984
total_number_of_episodes = 3450, number_of_timesteps=3450000, per_episode_reward = -455.31, episode_reward_trend_value=-0.000735688601722965
total_number_of_episodes = 3460, number_of_timesteps=3460000, per_episode_reward = -455.23, episode_reward_trend_value=0.00023374835061720965
total_number_of_episodes = 3470, number_of_timesteps=3470000, per_episode_reward = -455.16, episode_reward_trend_value=0.0003294216395602234
total_number_of_episodes = 3480, number_of_timesteps=3480000, per_episode_reward = -455.28, episode_reward_trend_value=-0.001357476895735014
total_number_of_episodes = 3490, number_of_timesteps=3490000, per_episode_reward = -455.36, episode_reward_trend_value=-0.0030588923670260707
Process Process-4:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
total_number_of_episodes = 3500, number_of_timesteps=3500000, per_episode_reward = -455.26, episode_reward_trend_value=-0.0009376647513161314
total_number_of_episodes = 3510, number_of_timesteps=3510000, per_episode_reward = -455.21, episode_reward_trend_value=-0.000625607408501436
total_number_of_episodes = 3520, number_of_timesteps=3520000, per_episode_reward = -455.16, episode_reward_trend_value=-0.0006054080855916608
total_number_of_episodes = 3530, number_of_timesteps=3530000, per_episode_reward = -455.18, episode_reward_trend_value=-0.00021196636863957488
total_number_of_episodes = 3540, number_of_timesteps=3540000, per_episode_reward = -455.12, episode_reward_trend_value=0.0020233793160305898
total_number_of_episodes = 3550, number_of_timesteps=3550000, per_episode_reward = -455.00, episode_reward_trend_value=0.0025869869652979105
total_number_of_episodes = 3560, number_of_timesteps=3560000, per_episode_reward = -455.00, episode_reward_trend_value=0.001836545291544351
total_number_of_episodes = 3570, number_of_timesteps=3570000, per_episode_reward = -455.18, episode_reward_trend_value=0.0010758172760075822
total_number_of_episodes = 3580, number_of_timesteps=3580000, per_episode_reward = -455.03, episode_reward_trend_value=0.0036667589102674153
total_number_of_episodes = 3590, number_of_timesteps=3590000, per_episode_reward = -454.81, episode_reward_trend_value=0.00497190320702935
total_number_of_episodes = 3600, number_of_timesteps=3600000, per_episode_reward = -454.84, episode_reward_trend_value=0.004038450315173728
total_number_of_episodes = 3610, number_of_timesteps=3610000, per_episode_reward = -454.97, episode_reward_trend_value=0.002140581336331277
total_number_of_episodes = 3620, number_of_timesteps=3620000, per_episode_reward = -455.01, episode_reward_trend_value=0.0018822290995507904
total_number_of_episodes = 3630, number_of_timesteps=3630000, per_episode_reward = -455.18, episode_reward_trend_value=-0.0006062664923522081
total_number_of_episodes = 3640, number_of_timesteps=3640000, per_episode_reward = -454.96, episode_reward_trend_value=0.00047177052743702715
total_number_of_episodes = 3650, number_of_timesteps=3650000, per_episode_reward = -454.99, episode_reward_trend_value=0.00010495368313867301
total_number_of_episodes = 3660, number_of_timesteps=3660000, per_episode_reward = -454.90, episode_reward_trend_value=0.0030842460656205933
total_number_of_episodes = 3670, number_of_timesteps=3670000, per_episode_reward = -454.82, episode_reward_trend_value=0.002359841454920621
total_number_of_episodes = 3680, number_of_timesteps=3680000, per_episode_reward = -454.88, episode_reward_trend_value=-0.0007382258200935767
total_number_of_episodes = 3690, number_of_timesteps=3690000, per_episode_reward = -454.79, episode_reward_trend_value=0.0006317824038237379
total_number_of_episodes = 3700, number_of_timesteps=3700000, per_episode_reward = -454.92, episode_reward_trend_value=0.0005670558290066512
total_number_of_episodes = 3710, number_of_timesteps=3710000, per_episode_reward = -454.93, episode_reward_trend_value=0.0008945078962805534
total_number_of_episodes = 3720, number_of_timesteps=3720000, per_episode_reward = -454.93, episode_reward_trend_value=0.0027895239597866195
total_number_of_episodes = 3730, number_of_timesteps=3730000, per_episode_reward = -454.84, episode_reward_trend_value=0.0013001006275064556
total_number_of_episodes = 3740, number_of_timesteps=3740000, per_episode_reward = -454.98, episode_reward_trend_value=4.773531264908746e-05
total_number_of_episodes = 3750, number_of_timesteps=3750000, per_episode_reward = -454.95, episode_reward_trend_value=-0.0004922785027480991
total_number_of_episodes = 3760, number_of_timesteps=3760000, per_episode_reward = -454.85, episode_reward_trend_value=-0.00041616149940498163
total_number_of_episodes = 3770, number_of_timesteps=3770000, per_episode_reward = -454.85, episode_reward_trend_value=0.0002761738364793271
total_number_of_episodes = 3780, number_of_timesteps=3780000, per_episode_reward = -454.88, episode_reward_trend_value=-0.0010240559875765282
total_number_of_episodes = 3790, number_of_timesteps=3790000, per_episode_reward = -454.88, episode_reward_trend_value=0.00047942643804188063
total_number_of_episodes = 3800, number_of_timesteps=3800000, per_episode_reward = -454.80, episode_reward_trend_value=0.001451614372980556
total_number_of_episodes = 3810, number_of_timesteps=3810000, per_episode_reward = -454.87, episode_reward_trend_value=0.0006389040964822673
total_number_of_episodes = 3820, number_of_timesteps=3820000, per_episode_reward = -454.85, episode_reward_trend_value=-0.00011187080115178105
total_number_of_episodes = 3830, number_of_timesteps=3830000, per_episode_reward = -454.91, episode_reward_trend_value=0.0008616489610087936
total_number_of_episodes = 3840, number_of_timesteps=3840000, per_episode_reward = -454.84, episode_reward_trend_value=0.0012536605257095189
total_number_of_episodes = 3850, number_of_timesteps=3850000, per_episode_reward = -454.91, episode_reward_trend_value=-0.0006022383794054854
total_number_of_episodes = 3860, number_of_timesteps=3860000, per_episode_reward = -454.83, episode_reward_trend_value=0.00026058068062108456
total_number_of_episodes = 3870, number_of_timesteps=3870000, per_episode_reward = -454.69, episode_reward_trend_value=0.0021465082029262957
total_number_of_episodes = 3880, number_of_timesteps=3880000, per_episode_reward = -454.65, episode_reward_trend_value=0.002456473500353064
total_number_of_episodes = 3890, number_of_timesteps=3890000, per_episode_reward = -454.68, episode_reward_trend_value=0.0012465722732656558
total_number_of_episodes = 3900, number_of_timesteps=3900000, per_episode_reward = -454.71, episode_reward_trend_value=0.0017343544715490427
total_number_of_episodes = 3910, number_of_timesteps=3910000, per_episode_reward = -454.73, episode_reward_trend_value=0.001358629805587144
total_number_of_episodes = 3920, number_of_timesteps=3920000, per_episode_reward = -454.88, episode_reward_trend_value=0.0002957025214887684
total_number_of_episodes = 3930, number_of_timesteps=3930000, per_episode_reward = -454.88, episode_reward_trend_value=-0.0004787475242305088
total_number_of_episodes = 3940, number_of_timesteps=3940000, per_episode_reward = -454.90, episode_reward_trend_value=9.625397224542414e-05
total_number_of_episodes = 3950, number_of_timesteps=3950000, per_episode_reward = -454.86, episode_reward_trend_value=-0.0002907990459334542
total_number_of_episodes = 3960, number_of_timesteps=3960000, per_episode_reward = -454.99, episode_reward_trend_value=-0.003355528307436847
total_number_of_episodes = 3970, number_of_timesteps=3970000, per_episode_reward = -454.90, episode_reward_trend_value=-0.002741891286903966
total_number_of_episodes = 3980, number_of_timesteps=3980000, per_episode_reward = -454.94, episode_reward_trend_value=-0.002784920808350459
total_number_of_episodes = 3990, number_of_timesteps=3990000, per_episode_reward = -454.86, episode_reward_trend_value=-0.001640915745642562
Process Process-7:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-8:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-9:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-2:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-1:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 610, in wait
    self._enter() # Block while the barrier drains.
  File "/usr/lib/python3.8/threading.py", line 634, in _enter
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-5:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
